,LATITUD,LONGITUD
4093,-100.4341413,-100.4341413
4101,-100.4341413,-100.4341413
4102,-100.4341413,-100.4341413
4103,-100.4341413,-100.4341413
4114,-99.9152033,-99.9152033
4119,-99.9154318,-99.9154318
4120,-99.9154318,-99.9154318
4121,-99.9154318,-99.9154318
4122,-99.9154318,-99.9154318
4123,-99.9154318,-99.9154318
4124,-99.9154318,-99.9154318
4125,-99.9154318,-99.9154318
4126,-99.9154318,-99.9154318
4127,-99.9154318,-99.9154318
4128,-99.9154318,-99.9154318
4129,-99.9154318,-99.9154318
4130,-99.9154318,-99.9154318
4131,-99.9154318,-99.9154318
4132,-100.4059091,-100.4059091
4133,-100.4059091,-100.4059091
4134,-100.4059091,-100.4059091
4135,-100.4059091,-100.4059091
4140,-100.4461078,-100.4461078
4141,-100.4461078,-100.4461078
4142,-100.4461078,-100.4461078
4143,-100.4461078,-100.4461078
4144,-100.4461078,-100.4461078
4145,-100.4461078,-100.4461078
4146,-100.4461078,-100.4461078
4147,-100.4461078,-100.4461078
4148,-100.4461078,-100.4461078
4149,-100.4461078,-100.4461078
4150,-100.4461078,-100.4461078
4151,-100.4461078,-100.4461078
4152,-100.4461078,-100.4461078
4153,-100.4461078,-100.4461078
4154,-100.4461078,-100.4461078
4155,-100.4461078,-100.4461078
4156,-100.4461078,-100.4461078
4165,-100.808755,-100.808755
4166,-100.808755,-100.808755
4167,-100.808755,-100.808755
4168,-100.808755,-100.808755
4191,-101.2341812,-101.2341812
4192,-101.1901622,-101.1901622
4193,-101.1901622,-101.1901622
4194,-101.1901622,-101.1901622
4195,-101.1901622,-101.1901622
4196,-101.1901622,-101.1901622
4197,-101.1901622,-101.1901622
4198,-101.1901622,-101.1901622
4199,-101.1901622,-101.1901622
4200,-101.1901622,-101.1901622
4201,-101.1901622,-101.1901622
4202,-101.1901622,-101.1901622
4203,-101.1901622,-101.1901622
4204,-101.1901622,-101.1901622
4205,-101.1901622,-101.1901622
4206,-101.1901622,-101.1901622
4215,-100.444913,-100.444913
4216,-100.444913,-100.444913
4217,-100.444913,-100.444913
4218,-100.444913,-100.444913
4219,-100.444913,-100.444913
4220,-100.444913,-100.444913
4221,-100.444913,-100.444913
4224,-101.2341812,-101.2341812
4225,-101.2341812,-101.2341812
4226,-102.0466987,-102.0466987
4227,-102.0466987,-102.0466987
4228,-102.0466987,-102.0466987
4229,-102.0466987,-102.0466987
4230,-101.2149448,-101.2149448
4231,-101.2149448,-101.2149448
4232,-101.2149448,-101.2149448
4233,-101.2149448,-101.2149448
4234,-101.2149448,-101.2149448
4235,-101.2149448,-101.2149448
4236,-101.2149448,-101.2149448
4237,-101.2149448,-101.2149448
4238,-101.2149448,-101.2149448
4239,-101.2149448,-101.2149448
4240,-101.2149448,-101.2149448
4241,-101.2149448,-101.2149448
4242,-101.2149448,-101.2149448
4243,-101.2149448,-101.2149448
4244,-101.2149448,-101.2149448
4245,-101.2149448,-101.2149448
